NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
COMMONWEALTH BK.OF AUS.,AU000000CBA7,,,,22.63,43.14,48.35,56.64,53.71,53.29,54.18,72.33,75.92,71.14,72.17,72.42,70.79,78.59,81.63,81.96,82.33,86.38,87.51,90.82,90.34,90.87
CHALLENGER,AU000000CGF5,,,,,,18.2,18.01,13.94,14.37,20.74,34.67,38.75,41.58,41.97,44.38,53.77,53.06,47.53,46.87,47.2,49.86,50.05,53.71,52.2,65.02
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,,,,,,14.09,13.46,26.91,34.69,36.51,34.27,37.21,42.52,42.24,46.84,42.31,54.6,56.01,57.13,59.47,65.69,63.58,61.79,,
COCHLEAR,AU000000COH5,,,,,,20.57,16.63,12.89,18.46,22.63,22.3,27.09,24.22,26.79,30.26,35.72,43.88,38.44,48.73,53.21,66.01,58.37,61.35,60.66,57.86
COMPUTERSHARE,AU000000CPU5,,,,,,26.34,24.04,26.86,31.69,43.49,41.76,41.54,40.65,41.52,50.84,54.71,70.91,71.37,56.71,55.29,56.98,52.26,57.21,59.65,54.57
CHARTER HALL RETAIL REIT,AU000000CQR9,,,,,,,,,,,20.28,28.0,27.27,32.74,32.62,34.7,37.94,48.34,52.6,54.56,52.14,46.75,45.08,41.86,42.22
CSL,AU000000CSL8,,,,,,29.49,33.36,33.81,37.29,49.17,65.0,66.55,74.15,72.58,71.38,73.92,75.48,72.48,74.21,79.58,81.5,79.1,77.88,77.45,77.63
CSR DEAD - DEAD.10/07/24,AU000000CSR5,,,,,,,21.94,34.52,29.77,48.95,53.16,54.13,42.35,47.33,46.75,39.66,47.43,52.98,47.86,53.94,55.51,56.76,53.42,53.87,51.66
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,,,,,25.48,32.68,39.81,44.72,51.46,48.75,53.83,50.54,47.59,45.32,44.05,56.69,53.95,56.92,71.66
DOWNER EDI,AU000000DOW2,,,,,,21.03,21.57,23.0,26.02,22.25,41.26,59.73,55.85,57.65,56.41,58.58,64.42,64.81,65.55,66.02,67.81,69.13,71.21,71.18,69.42
DEXUS STAPLED UNITS,AU000000DXS1,,,,,,,32.36,52.68,47.05,76.88,81.85,81.59,78.74,79.59,79.69,79.16,83.79,87.43,87.34,89.48,86.88,86.83,89.0,82.32,80.54
ELDERS,AU000000ELD6,,,,,,18.7,12.97,10.28,18.18,18.96,23.93,30.06,34.19,32.03,29.08,22.53,24.76,30.75,27.31,26.36,34.0,40.22,47.32,43.66,40.86
ENERGY RES.OF AUS.,AU000000ERA9,,,,,,,,,,56.0,62.09,65.34,62.66,56.51,39.74,38.95,32.9,31.14,33.45,37.94,41.6,44.59,37.57,36.32,
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,,,,,,,,,,,9.23,5.94,22.17,18.25,20.56,25.91,26.3,34.57,32.16,35.58,38.06,41.73,,38.98,48.51
GOODMAN GROUP,AU000000GMG2,,,,,,,9.93,11.1,17.38,23.76,40.44,39.04,46.47,59.81,49.98,37.5,47.62,59.18,47.06,53.46,52.41,62.57,59.08,59.69,53.67
GPT GROUP STAPLED UNITS,AU000000GPT8,,,,,,28.74,36.32,43.98,52.65,77.69,80.1,80.08,77.71,81.62,77.25,79.87,77.77,77.08,78.21,74.79,76.82,79.47,77.82,76.09,
GWA GROUP,AU000000GWA4,,,,,,,,,,,37.78,34.89,36.08,37.12,35.09,32.83,37.55,38.26,37.0,39.87,46.87,47.88,46.72,47.32,49.76
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,,,,,,,,,,,35.0,38.36,55.54,52.55,37.88,45.72,44.03,45.02,44.79,47.84,47.72,44.49,40.82,42.43,
HARVEY NORMAN HOLDINGS,AU000000HVN7,,,,,,24.79,28.06,27.57,23.14,16.66,25.49,22.19,15.68,21.34,26.37,33.31,33.43,34.42,31.17,35.97,34.76,33.98,33.68,28.42,21.7
INSURANCE AUS.GROUP,AU000000IAG3,,,,,,50.39,37.51,42.39,73.36,79.47,83.45,88.96,83.34,77.2,80.31,78.09,80.88,81.04,80.08,78.61,79.41,77.85,77.89,77.76,77.42
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,,,,,,34.23,39.6,44.6,43.11,55.24,53.35,41.5,50.28,50.12,51.05,45.84,48.03,57.85,63.99,61.85
IGO,AU000000IGO4,,,,,,,,,,,20.02,25.08,27.64,30.43,30.59,29.87,44.04,34.65,43.55,47.98,60.79,70.76,64.76,70.37,67.55
ILUKA RESOURCES,AU000000ILU1,,,,,,42.53,35.3,38.06,35.59,37.15,34.98,38.64,41.9,43.39,44.19,51.18,54.17,59.93,70.37,74.0,77.17,70.86,76.43,77.86,72.74
INCITEC PIVOT,AU000000IPL1,,,,,,,,,37.11,25.24,39.42,43.2,45.48,45.22,45.44,45.8,50.11,52.76,47.68,52.85,66.68,67.75,65.5,69.79,63.28
IRESS,AU000000IRE2,,,,,,,,,,,41.51,44.45,30.6,33.01,25.72,34.49,39.61,49.17,52.48,60.73,57.76,62.02,57.42,49.12,61.53
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,,,,,,22.12,20.37,23.19,25.99,26.3,29.78,28.81,29.21,30.38,37.87,40.68,49.44,43.13,43.3,
JB HI-FI,AU000000JBH7,,,,,,,,,,,28.24,26.53,39.49,33.75,27.17,36.05,33.62,34.07,47.32,47.58,42.49,39.53,48.59,45.88,51.43
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,,,,,,,35.78,34.58,16.5,23.29,33.93,34.8,28.19,29.84,29.32,23.06,26.14,41.49,39.86,37.77,36.03,38.83,37.63,44.55,32.86
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,,,,,,19.78,32.99,38.69,40.56,66.56,67.82,72.27,70.69,60.32,56.24,59.01,60.57,60.76,77.85,72.68,73.85,69.4,59.25,59.79,61.63
MACMAHON HOLDINGS,AU000000MAH3,,,,,,,,,,,34.39,45.45,46.33,50.71,41.25,40.91,27.52,26.28,36.68,29.18,31.76,35.42,45.86,54.5,45.77
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,,,,,,31.23,45.58,26.59,63.71,73.86,74.98,85.42,81.37,82.61,84.83,83.44,86.4,89.24,90.09,89.1,89.16,90.32,84.39,79.81,75.01
MOUNT GIBSON IRON,AU000000MGX7,,,,,,,,,,,31.43,36.85,37.13,41.36,44.07,46.95,44.89,42.66,42.68,37.63,41.93,42.44,37.45,38.54,43.47
MONADELPHOUS GROUP,AU000000MND5,,,,,,,,,,,21.74,20.91,20.71,22.11,21.06,23.73,26.12,26.79,26.34,31.75,31.66,32.04,43.56,45.92,36.66
MACQUARIE GROUP,AU000000MQG1,,,,,,,25.78,20.62,16.47,48.43,57.45,65.51,74.72,68.82,66.53,75.81,79.79,79.71,80.27,80.53,81.03,84.86,86.81,86.54,82.32
METCASH,AU000000MTS0,,,,,,,,,24.95,29.77,45.01,45.96,44.41,36.56,33.91,38.57,46.94,47.93,44.89,47.75,48.84,49.46,51.45,48.46,57.18
NATIONAL AUS.BANK,AU000000NAB4,,,,45.44,40.84,56.58,82.43,78.32,76.24,82.08,81.22,90.09,87.02,79.72,80.51,84.42,86.9,90.03,87.88,86.24,81.51,83.07,87.24,83.7,86.14
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,,,,,,55.18,45.81,63.57,52.91,61.32,67.49,63.01,77.06,76.22,77.76,59.31,53.9,61.16,60.17,64.78,63.82,66.22,67.08,67.24,
ORIGIN ENERGY (EX BORAL),AU000000ORG5,,,,,,30.33,31.88,34.61,56.73,54.15,51.76,64.15,59.06,59.05,59.39,58.61,61.12,63.32,63.08,58.58,61.04,63.88,65.72,63.09,60.1
ORICA,AU000000ORI1,,,,24.29,36.25,50.44,56.09,56.14,44.41,52.88,51.96,59.62,54.71,60.63,62.57,62.95,56.18,52.86,57.08,59.4,54.92,53.92,54.72,64.74,63.11
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,,,,,,,,,,57.93,62.54,81.68,76.51,81.5,76.81,72.19,73.29,73.32,72.87,73.49,72.91,72.75,75.86,68.22,
PERPETUAL,AU000000PPT9,,,,,,37.77,41.67,36.45,40.42,37.58,36.92,57.79,47.7,51.48,55.3,57.2,57.12,64.37,61.56,68.58,66.55,65.21,73.44,77.27,76.16
QANTAS AIRWAYS,AU000000QAN2,,,,,,16.26,36.36,35.55,49.56,62.3,64.17,66.85,67.24,68.88,67.89,68.45,61.25,72.23,72.81,76.78,75.17,77.74,71.92,71.68,68.25
QBE INSURANCE GROUP,AU000000QBE9,,,,,,28.07,27.52,26.16,34.65,44.99,38.71,46.04,48.36,51.11,51.01,49.23,62.49,64.05,72.9,82.58,85.06,80.63,89.66,87.86,88.27
RAMSAY HEALTH CARE,AU000000RHC8,,,,,,,,,,,46.14,47.66,55.03,68.42,69.61,63.85,73.54,69.01,74.51,69.67,71.52,77.84,85.47,82.69,83.23
ST BARBARA,AU000000SBM8,,,,,,,,,,,27.47,29.42,38.72,37.31,36.46,32.75,34.33,34.31,43.12,65.43,64.71,67.29,62.59,59.4,
SUNLAND GROUP DEAD - DELIST.30/10/23,AU000000SDG6,,,,,,,,,,,,20.9,16.57,16.29,14.18,19.18,18.82,20.46,21.68,23.42,16.1,16.78,25.9,24.79,
SEEK,AU000000SEK6,,,,,,,,,,,12.08,18.3,17.95,20.12,19.21,15.95,22.67,28.72,29.76,28.12,36.16,34.37,36.02,41.93,43.64
SIMS,AU000000SGM7,,,,,,,,,36.05,45.14,57.25,56.81,63.59,68.07,68.04,66.7,66.81,68.79,63.5,64.01,70.18,74.54,74.96,76.29,77.73
STOCKLAND STAPLED UNITS,AU000000SGP0,,,,,,24.19,25.05,45.69,66.8,75.67,81.59,85.02,83.26,83.97,79.45,82.94,79.18,84.76,83.6,87.38,85.6,86.71,88.64,84.81,81.07
SONIC HEALTHCARE,AU000000SHL7,,,,,,23.26,19.47,13.34,16.67,10.99,18.5,26.92,27.35,41.37,39.79,49.93,61.45,65.94,59.87,67.55,65.1,69.78,70.56,69.47,67.53
SIGMA HEALTHCARE,AU000000SIG5,,,,,,,,,,,32.08,30.87,27.03,32.73,33.53,33.56,35.95,32.28,35.61,38.61,47.26,49.77,58.32,47.22,46.68
SANTOS,AU000000STO6,,,,,,31.4,19.34,26.42,59.41,67.87,65.7,68.57,65.05,66.14,63.44,60.23,57.43,42.12,36.91,32.92,41.26,44.26,48.16,47.96,46.15
SUNCORP GROUP,AU000000SUN6,,,,,,44.21,32.15,30.85,40.22,43.07,50.83,47.51,59.03,44.86,54.76,60.71,56.02,57.58,63.47,68.78,71.23,71.38,83.17,78.12,80.46
SEVEN WEST MEDIA,AU000000SWM4,,,,,,,,,,,23.63,24.24,24.23,23.18,31.29,31.07,29.28,29.76,33.22,29.91,40.79,40.21,38.96,48.13,39.08
SOUTHERN CROSS MEDIA GROUP,AU000000SXL4,,,,,,,,,,,19.75,19.55,31.91,32.18,37.68,31.66,33.35,33.7,37.08,37.98,32.06,36.56,36.9,53.95,47.94
TABCORP HOLDINGS,AU000000TAH8,,,,,,17.99,19.43,23.19,34.93,39.45,44.89,45.75,37.76,38.97,43.93,56.16,52.12,59.21,57.21,59.71,63.05,62.59,66.91,58.68,60.53
TRANSURBAN GROUP STAPLED UNITS,AU000000TCL6,,,,,,25.64,20.48,32.55,50.48,61.54,72.72,69.51,72.49,71.81,68.9,77.79,68.85,69.96,64.32,62.18,65.32,78.78,77.71,77.76,74.24
TELSTRA GROUP,AU000000TLS2,,,,,,63.31,57.9,56.0,57.44,68.15,71.47,86.24,82.4,77.93,79.31,83.02,79.21,72.71,78.46,79.0,83.09,80.66,83.36,83.43,78.7
WESTPAC BANKING,AU000000WBC1,,,,35.76,62.78,61.91,74.69,78.26,84.02,86.45,85.81,85.27,83.22,84.34,86.13,87.08,89.32,90.14,88.33,85.65,83.75,82.04,75.62,72.41,72.09
WESFARMERS,AU000000WES1,,,,,,,35.3,46.49,58.74,55.21,60.17,73.0,64.96,67.06,66.5,72.88,70.26,74.26,76.55,80.54,82.98,82.25,79.86,77.09,76.9
WORLEY,AU000000WOR2,,,,,,19.01,34.06,37.2,43.95,41.38,45.03,53.52,57.97,61.38,71.75,74.43,69.88,73.87,70.04,80.55,76.69,60.88,68.4,81.83,75.74
WOOLWORTHS GROUP,AU000000WOW2,,,,,,,50.78,63.04,72.64,77.76,76.41,90.24,83.21,83.59,85.54,81.16,73.77,71.11,80.35,85.06,85.08,83.55,72.45,80.32,85.84
A2B AUSTRALIA DEAD - DELIST.12/04/24,AU0000032187,,,,,,,,,,,15.02,17.02,27.0,31.87,29.14,29.94,31.13,32.27,27.12,26.31,25.77,31.74,24.18,17.58,12.68
HEALIUS,AU0000033359,,,,,,,,,,,23.91,17.82,29.42,29.99,31.23,34.01,28.6,44.39,43.67,43.87,50.27,58.18,39.46,46.52,53.41
OVATO DEAD - DELIST.29/08/22,AU0000038911,,,,,,,,,,,,43.53,44.52,41.96,38.35,40.64,34.34,41.08,35.24,35.73,31.97,24.43,33.23,,
AMPOL,AU0000088338,,,,,,10.28,22.14,17.91,34.85,47.79,48.33,43.15,37.05,36.57,39.52,42.48,43.73,43.72,44.04,69.36,72.43,70.95,70.25,69.13,
WOODSIDE ENERGY GROUP,AU0000224040,,,,,,36.37,34.36,35.17,49.45,50.41,56.81,65.9,71.86,65.49,69.94,67.75,75.1,66.59,68.57,77.49,76.42,70.42,67.76,75.69,
SOLVAY,BE0003470755,,,,32.01,45.27,31.95,41.28,37.63,37.22,54.49,46.76,56.36,51.61,71.3,77.38,78.96,76.37,70.19,59.98,73.72,75.44,77.02,82.35,81.35,74.36
KBC GROUP,BE0003565737,,,,45.95,46.58,53.17,54.01,59.95,70.46,68.13,65.84,67.32,68.86,69.37,70.61,59.05,61.71,61.87,64.01,65.04,66.89,62.5,61.56,60.23,62.33
COFINIMMO,BE0003593044,,,,31.58,28.58,33.99,41.09,32.57,50.53,53.56,56.78,61.34,60.6,66.67,69.86,64.84,67.34,71.67,70.34,78.01,81.53,85.13,82.93,89.09,
SOFINA,BE0003717312,,,,,,,,,5.82,9.34,7.8,10.46,6.67,7.17,9.12,16.29,8.52,6.05,8.72,7.77,11.8,16.76,29.85,30.85,27.06
ORANGE BELGIUM,BE0003735496,,,,18.01,14.33,18.77,21.31,17.16,21.48,34.91,35.67,49.05,42.08,44.6,47.9,41.95,36.91,24.19,35.48,49.57,50.53,48.78,45.16,45.73,59.75
UCB,BE0003739530,,,,,,,15.5,12.45,22.98,31.68,37.22,50.05,52.32,54.3,56.28,59.74,70.32,69.12,81.75,80.35,82.06,84.57,82.12,89.12,82.6
AGFA-GEVAERT,BE0003755692,,,,44.77,45.37,38.32,50.77,30.64,54.24,63.72,65.86,61.17,56.37,57.05,52.8,55.03,69.55,69.18,66.24,75.42,66.82,57.36,61.62,68.18,67.37
GBL NEW,BE0003797140,,,,20.84,32.27,28.47,19.33,12.74,13.31,9.41,5.63,10.29,11.55,7.98,27.19,22.18,19.09,14.7,19.16,32.11,59.21,73.8,70.43,71.14,65.53
PROXIMUS,BE0003810273,,,,22.84,23.56,20.97,30.29,35.84,42.7,69.68,73.85,73.04,65.97,61.48,54.37,48.23,68.87,74.73,73.52,66.6,66.82,74.14,66.29,67.69,68.97
ELIA GROUP,BE0003822393,,,,,,,,,,26.78,26.93,31.04,31.26,32.31,26.77,27.78,22.99,26.37,25.16,51.9,55.2,50.73,45.95,48.45,43.48
