NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARISTOCRAT LEISURE,AU000000ALL7,266901,348834.0,291354.0,388803.0,573252.0,754557.0,879134.0,961043.0,836300.0,1002990.0,722772.0,785769.0,691017.0,761201.0,799967.0,723963.0,661720.0,1116786.0,1626206.0,1926583.0,2523372.0,2941262.0,3169915.0,3371291.0,3854555.0,4110730.0
AMP,AU000000AMP6,17009291,18154490.0,14121185.0,6658442.0,6713080.0,7973234.0,8142055.0,8801430.0,10894522.0,9548340.0,-5816833.0,8982335.0,7278673.0,6107534.0,16226366.0,17741826.0,13499010.0,9711979.0,11284203.0,14393234.0,5860240.0,15817292.0,2538015.0,2160883.0,1567770.0,1853051.0
ANSELL,AU000000ANN9,3903317,3900577.0,3127130.0,1688289.0,806125.0,923123.0,846536.0,796592.0,938230.0,1117713.0,884070.0,1101540.0,1255591.0,1293055.0,1287384.0,1411668.0,1506720.0,1501690.0,1607732.0,1345897.0,1425716.0,1467515.0,1984887.0,1999548.0,1772898.0,1578497.0
ANZ GROUP HOLDINGS,AU000000ANZ3,7565918,6973470.0,6995055.0,6556020.0,6975619.0,9927902.0,13340379.0,15421779.0,19840202.0,26764137.0,24176233.0,26345992.0,33838516.0,38785163.0,37284033.0,30647577.0,30356767.0,28304758.0,29985529.0,31058671.0,25756905.0,24471052.0,22989179.0,17415894.0,20030383.0,35680698.0
APA GROUP,AU000000APA1,,,,98420.0,141243.0,186321.0,220909.0,277284.0,328118.0,615441.0,405851.0,567353.0,492903.0,761912.0,961532.0,1098814.0,1085676.0,1309288.0,1683754.0,1816336.0,1715726.0,1672765.0,1946238.0,1896886.0,1952602.0,1896975.0
ASX,AU000000ASX7,87115,96449.0,105014.0,99099.0,114575.0,162619.0,186296.0,205364.0,313534.0,541304.0,383402.0,474997.0,594341.0,670410.0,613374.0,793628.0,649498.0,633412.0,700765.0,693045.0,612112.0,604854.0,737127.0,710472.0,719708.0,680236.0
BENDIGO & ADELAIDE BANK,AU000000BEN6,148512,173773.0,189386.0,275259.0,335235.0,511545.0,658035.0,764120.0,902429.0,1375529.0,2665864.0,2445993.0,3500018.0,4065385.0,3655599.0,3039781.0,2581286.0,2243123.0,2317956.0,2315464.0,2060325.0,1892149.0,1726601.0,1448133.0,1806773.0,2914931.0
BHP GROUP,AU000000BHP4,13822576,12195804.0,10841984.0,13136648.0,16275051.0,22027118.0,28130966.0,28482119.0,36679535.0,53743956.0,50133592.0,49306227.0,69147348.0,78767575.0,66211721.0,63558759.0,54832984.0,29677795.0,34906882.0,42106633.0,40696018.0,44031589.0,51006247.0,60521394.0,59874996.0,54436635.0
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,3067703,3106910.0,1302179.0,1702638.0,2180967.0,3060725.0,3268501.0,3320108.0,3816429.0,4489803.0,3444588.0,3978880.0,4593342.0,4759359.0,5279060.0,3821681.0,3374987.0,3031858.0,2966773.0,4006897.0,4058522.0,3921883.0,2190014.0,2096683.0,2169151.0,2363260.0
BANK OF QLND.,AU000000BOQ8,139947,151880.0,159642.0,172020.0,211214.0,349026.0,551776.0,637348.0,888264.0,1301599.0,1465017.0,1882165.0,2413091.0,3073870.0,2832988.0,2199600.0,1825919.0,1749517.0,1821240.0,1783844.0,1619314.0,1498924.0,1502591.0,1318879.0,1708157.0,2753459.0
