NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ASX,AU000000ASX7,178.64,199.83,177.86,156.43,186.12,365.52,497.01,807.05,1013.46,1391.79,586.03,1159.18,1507.0,1397.07,1664.16,1496.78,1565.48,1503.19,2104.56,2455.67,2841.83,3556.15,3519.64,3958.31,3321.08,3012.0
BENDIGO & ADELAIDE BANK,AU000000BEN6,163.79,145.18,158.12,208.45,241.81,370.01,438.64,552.03,666.19,694.52,431.39,616.33,781.27,730.13,878.33,962.6,1088.76,768.59,1060.35,1059.09,1034.12,930.1,1086.6,952.23,1100.53,1085.99
BHP GROUP,AU000000BHP4,1625.11,2610.15,2366.88,2844.55,2879.91,4723.09,7276.12,10710.91,12566.67,19161.25,12789.85,20919.41,29672.47,26355.92,25782.57,22199.44,17608.1,9288.84,16776.66,20546.42,23363.3,24969.59,34100.54,36792.14,45324.15,44538.15
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,,,49.69,75.07,110.66,188.16,257.13,318.51,336.25,277.28,111.36,284.95,311.46,300.2,352.28,307.21,319.4,277.76,357.68,506.6,296.63,319.01,407.36,459.42,406.02,580.46
BANK OF QLND.,AU000000BOQ8,315.72,276.01,320.3,328.13,410.29,824.51,897.31,1317.37,1395.91,1495.35,637.83,1261.34,1507.85,1234.43,1535.31,1812.4,2042.82,1852.47,1910.62,2218.27,1918.56,1377.33,1958.13,1813.3,1695.91,1425.18
BEACH ENERGY,AU000000BPT9,7.83,13.78,10.6,12.0,12.59,17.89,25.88,65.02,72.41,96.94,36.65,50.81,71.6,142.26,120.43,112.4,82.46,29.31,54.84,101.15,128.61,160.59,141.3,112.62,115.13,115.46
BLUESCOPE STEEL,AU000000BSL0,,,,,67.01,139.19,263.18,204.4,269.92,376.05,103.61,131.56,132.81,31.32,45.59,61.95,52.13,40.05,107.07,143.53,112.59,119.5,165.26,175.8,175.7,205.6
BWP TRUST,AU000000BWP3,75.08,61.52,65.49,73.91,101.88,169.51,196.09,222.92,282.14,313.63,205.95,322.12,407.05,463.32,636.98,563.19,696.68,689.55,735.09,811.93,951.77,1028.95,1253.19,1196.91,1202.23,1063.18
COMMONWEALTH BK.OF AUS.,AU000000CBA7,394.95,428.92,471.01,466.76,474.3,753.84,914.27,1168.21,1506.2,1728.62,836.88,2041.26,2575.02,2757.73,3586.85,3728.49,4328.35,3421.43,4153.08,4235.35,3916.82,4469.24,5546.26,5674.0,6722.66,6893.25
CHALLENGER,AU000000CGF5,75.79,128.8,93.08,64.43,86.63,113.6,163.9,178.33,213.92,186.14,49.19,236.16,352.66,371.25,315.64,447.71,441.88,491.71,817.34,1013.67,596.04,673.47,666.67,536.57,650.02,575.05
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,1292.42,1168.08,1332.55,1788.96,2406.22,3313.16,3963.84,5858.16,8467.33,21315.99,5479.07,16556.84,16827.12,15240.73,12475.86,8974.17,10938.81,11695.96,19679.51,26749.4,25986.37,15049.31,15919.85,9924.28,,
COCHLEAR,AU000000COH5,238.19,541.68,781.49,795.02,867.53,674.57,911.94,1478.49,1861.79,2619.2,1632.24,2465.04,3756.7,3334.32,3637.87,2749.86,3738.56,3729.89,5705.24,7965.83,8386.6,9869.78,9794.19,8523.47,9387.93,12088.95
COMPUTERSHARE,AU000000CPU5,1264.87,3185.98,3191.34,1213.39,856.7,1856.86,3919.37,3936.74,5857.96,5677.94,3687.84,8714.75,8942.06,7700.67,9696.15,9421.2,8841.09,7675.12,10129.4,13596.44,14106.34,13158.33,13104.05,17387.31,20685.84,20321.51
CHARTER HALL RETAIL REIT,AU000000CQR9,113.61,109.77,105.02,113.22,158.13,225.73,294.02,290.59,374.48,317.35,35.24,223.88,281.95,338.63,421.64,355.47,412.37,383.27,438.35,428.56,512.25,544.86,492.38,544.07,570.35,522.55
CSL,AU000000CSL8,434.13,672.07,855.08,1056.71,429.65,662.6,1232.79,1677.08,2780.22,4748.49,3727.14,4219.34,5985.92,5227.78,9603.71,10352.76,11825.43,12996.19,15215.94,20042.82,24824.41,39262.42,39201.71,33910.84,40347.11,38173.91
CSR DEAD - DEAD.10/07/24,AU000000CSR5,309.0,278.48,371.79,470.01,523.13,803.71,1168.87,2179.99,2001.71,1925.49,787.48,1323.34,1538.94,982.74,1044.27,1350.21,1694.29,1039.62,1945.55,2403.51,1476.35,2368.45,3132.93,3066.12,2894.27,3658.88
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,,150.49,320.23,278.68,64.05,53.35,73.18,52.44,45.84,58.78,41.17,33.01,53.75,69.21,85.62,85.1,117.8,138.21,130.48,118.29
DOWNER EDI,AU000000DOW2,200.65,140.35,153.76,229.34,179.93,452.11,678.2,958.85,946.18,824.32,421.76,1355.23,813.32,892.8,1017.25,989.25,786.09,562.21,1369.55,1545.67,1602.95,1620.69,1476.45,1417.89,1032.19,1129.61
DEXUS STAPLED UNITS,AU000000DXS1,224.01,187.69,174.24,165.25,214.51,301.53,359.78,392.62,573.59,619.08,234.61,413.14,526.5,626.83,749.66,663.08,804.32,715.64,987.32,1060.83,1316.98,1421.39,1175.76,1305.42,1106.24,1026.24
ELDERS,AU000000ELD6,1082.82,1269.18,1233.02,1101.09,957.66,1528.79,2346.31,2180.85,2448.96,2738.35,425.82,208.15,106.87,47.48,25.48,19.66,53.46,69.12,72.5,125.62,101.1,130.61,203.3,206.37,167.3,163.72
ENERGY RES.OF AUS.,AU000000ERA9,12.15,15.48,17.11,14.02,18.97,37.62,105.33,134.04,243.2,277.99,184.13,251.57,179.76,33.51,32.83,25.53,25.51,5.98,13.07,14.55,5.83,3.5,5.14,7.33,5.77,4.91
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,306.17,1006.22,1312.53,1233.07,1284.94,1611.48,1315.43,852.13,1514.66,2766.08,522.32,1988.84,3084.02,2888.33,4589.62,5924.21,4397.15,4300.8,3670.56,6731.59,5446.73,4981.17,2390.84,2805.61,2605.12,2996.36
GOODMAN GROUP,AU000000GMG2,8.01,18.45,27.51,55.03,72.37,239.03,321.46,376.39,621.56,431.87,53.23,127.37,175.52,197.18,271.58,252.93,312.89,272.58,355.59,412.99,593.55,730.0,1007.39,1226.75,1037.57,1335.64
