NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ANZ GROUP HOLDINGS,AU000000ANZ3,10036.9,9844.95,12144.82,14192.97,15041.0,25078.45,30606.23,34766.15,43944.33,40831.96,18387.79,52488.47,63919.68,63687.61,78894.34,78888.79,76103.22,47133.84,69819.17,66120.76,56757.0,48455.5,57653.43,53038.9,50047.76,55797.63
APA GROUP,AU000000APA1,,,304.78,327.15,372.8,522.68,875.45,898.97,1424.27,1346.19,902.07,1576.49,2264.83,3292.93,5069.12,4973.09,7891.49,6894.34,7189.46,7297.73,8295.78,8366.42,8486.24,8526.54,8637.17,6686.84
ASX,AU000000ASX7,820.35,915.91,706.07,649.15,695.86,1313.49,1678.0,2517.21,6057.16,6792.48,2926.11,5625.62,6611.43,6019.92,6397.16,6523.24,6626.42,5810.13,7660.95,8866.22,9565.6,9832.52,10132.05,11509.74,8824.46,8267.18
BENDIGO & ADELAIDE BANK,AU000000BEN6,214.3,219.18,266.6,436.78,564.81,968.14,1029.13,1375.09,1534.39,2577.92,1311.48,3017.29,3514.1,3247.42,4039.69,4118.9,4552.13,2783.66,4461.92,4392.14,3437.69,3074.77,4018.85,3882.56,3738.37,3534.82
BHP GROUP,AU000000BHP4,15592.34,18326.36,19064.83,22247.71,21071.24,35350.27,52295.33,65158.92,81304.47,120873.6,62667.86,123517.41,156702.94,125663.97,119214.59,111039.35,84345.26,35855.21,61819.55,77698.23,79361.28,68630.83,112050.55,163489.47,156437.53,145749.21
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,,799.48,668.15,1216.68,1557.4,2707.17,2902.31,3725.75,4095.01,3353.86,1116.73,2862.69,4041.55,3564.64,3693.79,3887.13,3693.5,3088.45,5330.7,7113.35,4079.24,3603.23,4915.35,2837.86,2728.72,4263.32
BANK OF QLND.,AU000000BOQ8,204.24,184.64,189.41,224.28,291.48,727.63,788.83,1119.08,1365.98,1993.21,768.59,2077.93,2206.96,1804.57,2875.48,3477.49,4077.92,2841.88,3424.23,3985.58,2539.57,2176.52,3721.01,3715.16,3100.91,2536.67
BEACH ENERGY,AU000000BPT9,6.53,13.75,17.37,31.52,33.79,76.96,125.16,375.83,799.41,1206.59,567.02,643.52,993.93,2102.02,1774.32,1832.95,1091.49,485.16,995.63,2462.43,3334.41,2854.9,2914.27,2481.16,2223.6,2461.63
BLUESCOPE STEEL,AU000000BSL0,,,,,1647.04,3298.58,5623.98,3584.41,5676.97,7572.56,1378.77,3951.2,3987.29,1434.52,2525.33,3084.37,2131.19,2209.07,5377.78,6905.29,5116.81,4121.34,6505.72,6748.52,5757.6,6663.13
BWP TRUST,AU000000BWP3,97.54,107.53,100.67,135.87,199.45,351.47,402.14,433.44,516.49,558.94,339.11,678.8,828.41,1002.29,1253.35,1337.64,1466.78,1499.64,1416.08,1485.59,1709.84,1629.2,1889.88,1842.96,1701.34,1457.72
COMMONWEALTH BK.OF AUS.,AU000000CBA7,14047.6,14465.15,20136.98,20605.49,18917.47,30436.35,35945.39,42071.05,52507.74,56092.97,28624.26,74081.11,83561.13,84153.82,107581.78,109047.65,114719.83,86474.57,109881.73,105251.04,92904.02,99015.88,112023.99,115766.23,114880.32,126950.08
CHALLENGER,AU000000CGF5,117.7,229.71,138.58,191.05,300.4,937.38,1389.22,1606.64,2063.42,1478.76,444.55,1779.51,2527.34,2412.36,1985.37,2973.33,3147.57,3138.19,5185.73,6016.76,3525.47,3765.81,3373.77,3376.64,3383.62,3112.9
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,861.04,785.68,964.82,1498.9,1524.18,2249.02,2129.22,3691.41,7172.84,12179.09,3711.93,10095.71,9456.42,9262.07,8022.11,5467.04,5777.29,7558.56,9416.82,11771.8,11459.55,5426.85,5131.04,4951.35,4603.59,4478.64
COCHLEAR,AU000000COH5,316.93,686.39,1076.88,1050.72,1063.12,948.37,1273.42,1915.52,2587.94,2910.64,1911.85,3212.04,4440.58,3684.01,4033.9,3010.39,4075.12,4238.3,5742.97,8227.76,7066.25,8070.86,10760.44,10290.83,10001.79,14813.75
COMPUTERSHARE,AU000000CPU5,739.26,2266.29,2055.04,767.84,569.5,1420.29,2463.27,2984.7,5077.49,4673.91,2586.67,5796.85,5386.66,4605.34,5674.19,5926.47,5366.63,3550.64,5618.82,7584.99,6711.78,5699.75,5556.84,9449.97,9894.1,9955.86
CHARTER HALL RETAIL REIT,AU000000CQR9,221.33,212.25,204.49,233.96,486.63,767.73,1027.23,1744.38,2133.99,1725.16,104.07,768.3,966.43,988.19,1337.53,1197.44,1289.77,1246.65,1338.44,1196.42,1316.74,1469.62,1639.93,1717.85,1566.72,1372.16
CSL,AU000000CSL8,1176.42,1710.45,2902.03,3658.76,1316.81,2907.26,4974.26,6900.11,11561.19,19329.68,15063.51,17946.89,19814.91,18297.14,29634.03,31214.75,33546.29,33937.46,41186.06,57909.08,60855.35,92384.67,92500.4,90970.64,97075.52,90770.95
CSR DEAD - DEAD.10/07/24,AU000000CSR5,2494.6,2355.1,2482.67,3253.52,3706.01,1315.53,1690.84,2691.3,2641.43,3069.02,856.46,2197.65,1778.93,1056.56,992.07,1428.38,1714.53,1050.81,1631.32,2051.85,1219.31,1423.55,2055.55,1971.29,1622.34,2616.14
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,,885.31,2044.59,2311.71,365.47,1174.21,1225.08,1385.76,1434.64,1662.43,877.69,901.42,1423.61,2455.03,3106.16,3065.19,3473.18,4201.35,3995.18,3905.57
DOWNER EDI,AU000000DOW2,167.37,144.22,180.2,384.47,289.13,700.68,1142.07,1633.05,1856.2,1864.73,825.71,2360.55,1366.99,1782.79,2331.11,1963.53,1502.56,1012.0,2267.6,3142.26,3131.73,2357.9,2796.16,2460.38,1787.68,2213.47
DEXUS STAPLED UNITS,AU000000DXS1,537.5,566.42,479.68,475.94,636.56,885.91,2575.32,2903.53,4070.57,4496.6,1596.5,3521.04,4228.78,4689.37,5262.58,5031.34,5406.72,5212.47,6862.24,7513.24,8983.61,9060.53,7483.45,8270.05,6145.48,5183.87
ELDERS,AU000000ELD6,633.54,619.61,606.62,589.36,546.65,852.9,1069.03,1144.63,1257.06,1396.83,133.71,544.32,239.32,120.09,59.55,44.85,183.47,243.45,381.3,620.59,505.03,831.46,1363.02,1283.44,961.38,930.34
ENERGY RES.OF AUS.,AU000000ERA9,150.81,185.15,166.51,165.25,194.89,362.38,1367.78,1713.3,3949.03,3767.24,2303.86,3137.62,1986.65,717.92,681.99,679.7,559.09,126.05,238.6,275.99,118.86,374.96,514.42,853.63,583.12,724.2
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,262.6,861.43,1146.3,1192.69,1078.0,1438.26,1175.06,820.65,1265.73,2592.29,280.3,1685.64,2275.64,2326.01,3222.13,4630.33,3273.74,3008.87,2316.35,4531.83,3133.9,2319.75,2561.69,2622.76,2656.12,3064.03
GOODMAN GROUP,AU000000GMG2,4.2,23.23,45.18,100.45,201.99,643.78,3773.44,5437.81,9700.33,6888.02,435.56,3334.22,4833.15,5524.13,8135.06,7447.16,8436.67,8315.66,10416.49,11646.46,16761.51,18404.95,23685.61,29985.22,25243.2,35955.47
GPT GROUP STAPLED UNITS,AU000000GPT8,2198.16,2328.9,2364.43,2629.98,3309.9,4510.92,5792.38,6157.64,8453.55,6693.61,1472.95,4777.02,5845.06,6025.81,6917.55,5574.53,6461.95,6395.27,6777.26,6830.62,7691.75,7633.84,6439.58,6700.0,5948.97,5399.17
GWA GROUP,AU000000GWA4,401.16,368.32,318.78,372.54,459.82,650.31,648.64,658.4,938.25,794.24,396.46,829.26,1024.99,761.98,774.77,824.1,594.89,440.92,547.39,684.9,577.57,600.23,623.85,448.46,305.74,466.53
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,175.05,170.79,160.71,195.22,271.34,415.17,510.66,611.14,769.72,806.62,183.77,563.95,437.16,302.04,274.37,415.61,167.01,34.89,40.09,41.83,30.79,54.73,27.84,20.12,3.59,8.04
HARVEY NORMAN HOLDINGS,AU000000HVN7,1951.88,1841.09,1878.46,1900.45,1421.21,2323.27,2315.67,2635.4,3661.21,4828.25,1345.56,3643.4,3281.61,2445.69,2484.17,2979.75,3780.54,3605.18,4323.99,3911.1,3013.16,3527.55,5054.85,4637.22,3501.04,3829.73
INSURANCE AUS.GROUP,AU000000IAG3,,,2168.74,2354.75,2701.02,5889.82,7942.26,6343.73,8738.68,6734.04,4105.53,7353.68,7753.31,7235.25,11888.89,11751.29,11012.76,9471.67,11147.24,15033.58,12103.74,9829.3,9523.39,8532.96,7855.4,9737.2
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,209.67,367.63,366.48,523.5,329.43,120.57,1261.4,1826.02,1444.4,1910.23,1890.84,2414.42,1775.29,1961.81,2856.81,1657.35,1391.96,1648.89,1834.71,1478.25,1102.94
IGO,AU000000IGO4,,,,4.58,11.17,64.74,104.7,167.9,439.69,984.74,173.84,412.31,961.75,1114.69,1082.03,880.28,1028.4,919.24,1707.92,2359.98,2080.04,2102.36,4121.55,5975.88,6846.55,3719.11
ILUKA RESOURCES,AU000000ILU1,594.49,529.05,488.82,518.38,578.73,748.02,1025.39,1232.9,1156.6,776.76,1073.78,1342.27,4535.44,7464.94,4301.23,3553.32,2522.9,1951.9,2219.04,3341.44,2772.86,2450.9,2428.65,3104.16,2990.66,1936.32
INCITEC PIVOT,AU000000IPL1,,,,,,730.2,891.85,758.33,1807.96,6965.78,2274.86,4714.37,7166.33,5807.68,5305.56,4554.95,5218.72,3503.73,4768.91,5004.35,3824.84,3045.2,3999.79,4280.84,4595.6,3429.36
IRESS,AU000000IRE2,,,125.96,136.83,106.17,209.48,351.27,364.16,683.17,735.27,424.18,901.38,1146.08,954.93,1052.04,1364.32,1227.57,1171.51,1569.12,1425.18,1523.88,1372.18,1375.51,1421.57,1147.71,911.26
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,166.04,248.26,299.5,438.94,592.45,321.82,548.05,773.28,922.54,1176.39,1106.33,1173.58,974.67,1161.21,1194.66,1118.51,1112.01,1252.51,1287.79,1071.03,1193.64
JB HI-FI,AU000000JBH7,,,,,,181.01,305.79,356.45,642.98,1107.03,725.23,1889.78,2154.06,1270.06,1273.43,1682.2,1355.42,1569.47,2312.03,2451.12,1767.14,2763.07,3861.04,4073.0,3177.91,4432.28
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,897.2,899.26,822.7,1348.68,1800.09,2347.27,2159.04,2956.87,3658.62,2661.45,918.74,2894.83,2907.35,3541.47,4209.79,5449.6,5171.11,5627.13,6518.17,7981.72,5765.33,8454.04,12554.95,14363.23,9413.79,16719.15
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,6247.32,6314.83,3214.56,2713.71,2286.55,3087.29,3910.87,3904.97,5910.61,5219.57,1499.42,3990.22,5200.99,4641.14,6246.25,5757.39,7873.74,5360.72,6636.23,8185.6,5198.24,6773.36,7087.78,5346.03,3571.89,2764.57
MACMAHON HOLDINGS,AU000000MAH3,46.33,20.84,11.9,21.4,26.14,91.98,142.88,274.67,360.39,840.15,119.49,436.92,428.7,648.56,438.05,135.68,51.34,98.43,138.56,405.45,363.33,416.62,367.05,264.74,217.29,260.71
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,,1089.48,1107.79,1238.16,1649.35,2470.37,2960.98,2761.75,4699.98,4048.32,1002.15,4107.32,4494.93,4354.12,5579.39,5780.43,5959.99,4863.53,6061.69,6167.29,6771.33,8146.75,6798.11,7265.41,5967.94,5676.93
MOUNT GIBSON IRON,AU000000MGX7,4.04,2.41,2.04,11.36,13.18,42.16,149.93,196.39,453.07,2520.69,319.42,1470.99,2222.12,1518.58,868.65,894.26,209.13,136.76,442.19,352.45,603.11,538.66,812.56,446.16,457.15,385.32
MONADELPHOUS GROUP,AU000000MND5,28.34,40.27,22.82,19.73,38.34,73.75,170.85,364.23,728.92,956.1,396.18,1094.79,1749.57,2295.0,2305.28,1511.33,708.83,432.44,908.94,1247.7,1183.24,941.53,848.84,756.14,774.66,859.93
MACQUARIE GROUP,AU000000MQG1,1706.06,2642.66,2623.37,3323.17,3129.23,5479.67,8598.64,10742.32,17134.46,14866.42,3236.42,13570.12,13419.64,10081.77,13168.46,16000.52,18226.09,15576.71,22563.24,27349.63,31075.14,32813.41,39912.07,49909.49,49077.06,48886.6
METCASH,AU000000MTS0,192.23,146.28,109.02,567.16,798.65,1176.76,1707.83,2515.69,2899.15,2935.74,2077.49,2824.66,3171.77,3469.02,3633.32,2475.82,1136.93,1086.94,1611.17,2485.74,1663.47,1561.19,2667.42,2860.78,2674.04,2548.69
NATIONAL AUS.BANK,AU000000NAB4,24494.33,19173.04,23991.0,28408.85,27275.42,35698.36,35335.28,42553.47,53211.9,45729.18,21917.5,48284.28,57320.19,56384.17,71634.69,73479.79,71223.56,46110.38,65426.84,64335.63,49019.54,50683.42,62897.47,67595.62,62973.92,68930.63
